boundary_index,candidate_id,cohort,material,path,step_cm,volume,x_cm,y_cm,z_cm
0,utility-pilot-UA_d0p1_a04-pdg13-00,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetL_1,0.0,Magn7_MagRetL,151.26573486971284,41.5643379996597,3149.66
1,utility-pilot-UA_d0p1_a04-pdg13-00,genuine_nf_pilot,air,/cave_1,43.47386081901646,cave,154.66211075801323,41.85692189629991,3193.0
2,utility-pilot-UA_d0p1_a04-pdg13-00,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.21929206622433,Upstream_Tagger,160.22608602495663,42.33623561714567,3264.0
3,utility-pilot-UA_d0p1_a04-pdg13-00,genuine_nf_pilot,air,/cave_1,16.04941793041683,cave,161.47993960623967,42.44424997677288,3280.0
4,utility-pilot-UA_d0p1_a04-pdg13-00,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,8799.09338035097,Cavern,848.9051655446534,101.66312264239215,12052.0
5,utility-pilot-UA_d0p1_a04-pdg13-00,genuine_nf_pilot,air,/cave_1,4012.3544826041816,cave,1162.3685608654075,128.66671254919527,16052.0
0,utility-pilot-UA_d0p1_a04-pdg13-01,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetL_1,0.0,Magn7_MagRetL,132.55940750052537,-6.6444387132766085,3149.66
1,utility-pilot-UA_d0p1_a04-pdg13-01,genuine_nf_pilot,air,/cave_1,43.51498759357729,cave,136.44510937126975,-6.960454916762756,3193.0
2,utility-pilot-UA_d0p1_a04-pdg13-01,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.28666633927035,Upstream_Tagger,142.81070311429815,-7.4781556654364145,3264.0
3,utility-pilot-UA_d0p1_a04-pdg13-01,genuine_nf_pilot,air,/cave_1,16.06460086518769,cave,144.24520311272707,-7.594820622884,3280.0
4,utility-pilot-UA_d0p1_a04-pdg13-01,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,8807.417424339148,Cavern,930.7098272513917,-71.55638354352251,12052.0
5,utility-pilot-UA_d0p1_a04-pdg13-01,genuine_nf_pilot,air,/cave_1,4016.1502162969205,cave,1289.334826858626,-100.72262290541877,16052.0
0,utility-pilot-UA_d0p1_a04-pdg13-02,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetL_1,0.0,Magn7_MagRetL,137.9307105546728,-2.6689117331094425,3149.66
1,utility-pilot-UA_d0p1_a04-pdg13-02,genuine_nf_pilot,air,/cave_1,43.474858958503724,cave,141.35225732946407,-2.640998838333257,3193.0
2,utility-pilot-UA_d0p1_a04-pdg13-02,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.22092722782092,Upstream_Tagger,146.95746778193708,-2.595271668764518,3264.0
3,utility-pilot-UA_d0p1_a04-pdg13-02,genuine_nf_pilot,air,/cave_1,16.049786417537184,cave,148.2206137993958,-2.584966954495506,3280.0
4,utility-pilot-UA_d0p1_a04-pdg13-02,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,8799.295403414708,Cavern,840.7404178711315,3.064592643490098,12052.0
5,utility-pilot-UA_d0p1_a04-pdg13-02,genuine_nf_pilot,air,/cave_1,4012.4466043842713,cave,1156.526922235808,5.6407712107429955,16052.0
0,utility-pilot-UA_d0p1_a04-pdg13-03,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetL_1,0.0,Magn7_MagRetL,135.78101513511518,4.992181408198268,3149.66
1,utility-pilot-UA_d0p1_a04-pdg13-03,genuine_nf_pilot,air,/cave_1,43.49361761919349,cave,139.43325150733733,5.010703989652438,3193.0
2,utility-pilot-UA_d0p1_a04-pdg13-03,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.25165784408699,Upstream_Tagger,145.4163798513099,5.041047858670575,3264.0
3,utility-pilot-UA_d0p1_a04-pdg13-03,genuine_nf_pilot,air,/cave_1,16.056711626836545,cave,146.7646904640361,5.047885913660578,3280.0
4,utility-pilot-UA_d0p1_a04-pdg13-03,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,8803.092149413105,Cavern,885.9759838911824,8.79684956192964,12052.0
5,utility-pilot-UA_d0p1_a04-pdg13-03,genuine_nf_pilot,air,/cave_1,4014.1779067091225,cave,1223.0536370727357,10.506363309430352,16052.0
0,utility-pilot-UA_d0p1_a04-pdg13-04,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetL_1,0.0,Magn7_MagRetL,130.15293406870452,-6.626388269279988,3149.66
1,utility-pilot-UA_d0p1_a04-pdg13-04,genuine_nf_pilot,air,/cave_1,43.45672152771381,cave,133.3346295286994,-6.715044555581695,3193.0
2,utility-pilot-UA_d0p1_a04-pdg13-04,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.19121431628233,Upstream_Tagger,138.5469132771912,-6.860282126588183,3264.0
3,utility-pilot-UA_d0p1_a04-pdg13-04,genuine_nf_pilot,air,/cave_1,16.04309055014824,cave,139.72151243178092,-6.893011720054434,3280.0
4,utility-pilot-UA_d0p1_a04-pdg13-04,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,8795.624394118695,Cavern,783.6954989355835,-24.837011337926437,12052.0
5,utility-pilot-UA_d0p1_a04-pdg13-04,genuine_nf_pilot,air,/cave_1,4010.7726375370244,cave,1077.3452875830083,-33.019409704489135,16052.0
0,utility-pilot-UA_d0p1_a04-pdg13-05,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetL_1,0.0,Magn7_MagRetL,127.13045835466998,-2.532879323117377,3149.66
1,utility-pilot-UA_d0p1_a04-pdg13-05,genuine_nf_pilot,air,/cave_1,43.51311593583668,cave,130.99524102428424,-2.21805657584426,3193.0
2,utility-pilot-UA_d0p1_a04-pdg13-05,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.28360017176729,Upstream_Tagger,137.32656473315853,-1.7023109584840563,3264.0
3,utility-pilot-UA_d0p1_a04-pdg13-05,genuine_nf_pilot,air,/cave_1,16.06390989786306,cave,138.75334190698936,-1.5860865940085176,3280.0
4,utility-pilot-UA_d0p1_a04-pdg13-05,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,8807.038601503416,Cavern,920.9839274597384,62.13392122970565,12052.0
5,utility-pilot-UA_d0p1_a04-pdg13-05,genuine_nf_pilot,air,/cave_1,4015.9774744657616,cave,1277.6782209174444,91.19001234859036,16052.0
0,utility-pilot-UA_d0p1_a04-pdg-13-00,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetR_1,0.0,Magn7_MagRetR,-135.93005219955467,6.720917234469977,3149.66
1,utility-pilot-UA_d0p1_a04-pdg-13-00,genuine_nf_pilot,air,/cave_1,43.51365921784297,cave,-139.81150833636795,6.852206169844078,3193.0
2,utility-pilot-UA_d0p1_a04-pdg-13-00,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.28449018151456,Upstream_Tagger,-146.1701466777095,7.067284951836722,3264.0
3,utility-pilot-UA_d0p1_a04-pdg-13-00,genuine_nf_pilot,air,/cave_1,16.064110463439906,cave,-147.6030792616738,7.115753409750558,3280.0
4,utility-pilot-UA_d0p1_a04-pdg-13-00,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,3457.330970602486,Cavern,-456.0,17.547174497411724,6723.533064313502
5,utility-pilot-UA_d0p1_a04-pdg-13-00,genuine_nf_pilot,air,/cave_1,9365.845206838412,cave,-1291.441514411169,45.80569993946945,16052.0
0,utility-pilot-UA_d0p1_a04-pdg-13-01,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetR_1,0.0,Magn7_MagRetR,-129.44791160694567,-22.66047019517017,3149.66
1,utility-pilot-UA_d0p1_a04-pdg-13-01,genuine_nf_pilot,air,/cave_1,43.47042592694289,cave,-132.77465469882728,-23.16555501025968,3193.0
2,utility-pilot-UA_d0p1_a04-pdg-13-01,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.21366499337654,Upstream_Tagger,-138.22455685673205,-23.992989755791637,3264.0
3,utility-pilot-UA_d0p1_a04-pdg-13-01,genuine_nf_pilot,air,/cave_1,16.048149857662402,cave,-139.4527038218937,-24.17945392379884,3280.0
4,utility-pilot-UA_d0p1_a04-pdg-13-01,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,4136.3115247656615,Cavern,-456.0,-72.2394417681782,7403.901196289742
5,utility-pilot-UA_d0p1_a04-pdg-13-01,genuine_nf_pilot,air,/cave_1,8674.124099113264,cave,-1119.8210187621723,-173.02447603554742,16052.0
0,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetR_1,0.0,Magn7_MagRetR,-83.59068091063928,-4.074601144440268,3149.66
1,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1,43.36655548927232,cave,-85.08148408140927,-3.7916861216069093,3193.0
2,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.04350345496816,Upstream_Tagger,-87.52373200768221,-3.328212041746079,3264.0
3,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1,16.009803595485696,cave,-88.07409773754654,-3.2237671786788504,3280.0
4,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1/Tr1_1,5080.110803392589,Tr1,-262.71202339511973,29.917893433341387,8357.0
5,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1,100.06127247178618,cave,-266.1518092067717,30.570673827511573,8457.0
6,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1/Tr2_2,100.06127247178618,Tr2,-269.5915950184237,31.22345422168176,8557.0
7,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1,100.06127247178618,cave,-273.03138083007565,31.876234615851946,8657.0
8,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,Aluminium,/cave_1/SHiPMagnet_1/CV_2,135.08271783691168,CV,-277.67509167580585,32.7574881479817,8792.0
9,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,iron,/cave_1/SHiPMagnet_1/magyoke_1,25.015318117946464,magyoke,-278.53503812871884,32.92068324652424,8817.0
10,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,Aluminium,/cave_1/SHiPMagnet_1/CV_4,280.17156292100145,CV,-288.16643840134446,34.74846835020076,9097.0
11,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1,25.015318117946464,cave,-289.02638485425746,34.911663448743305,9122.0
12,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1/Tr3_3,135.08271783691137,Tr3,-293.67009569998766,35.79291698087305,9257.0
13,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1,100.06127247178618,cave,-297.1098815116396,36.44569737504324,9357.0
14,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,2696.6512931146403,Cavern,-389.8121091356616,54.0381289979297,12052.0
15,utility-pilot-UA_d0p1_a04-pdg-13-02,genuine_nf_pilot,air,/cave_1,4002.450898871451,cave,-527.4035416017425,80.14934476473705,16052.0
0,utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetR_1,0.0,Magn7_MagRetR,-137.16175685623742,11.55444633304076,3149.66
1,utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,air,/cave_1,43.45140261154217,cave,-140.26517452359872,11.748321788502215,3193.0
2,utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.18250081724712,Upstream_Tagger,-145.34922284807155,12.065930402663804,3264.0
3,utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,air,/cave_1,16.041126944731865,cave,-146.49492387893866,12.137504174869234,3280.0
4,utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,4333.42563403231,Cavern,-456.0,31.472780322737187,7602.3154073528585
5,utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,air,/cave_1,8471.403949599779,cave,-1061.0507717686128,69.27126783785252,16052.0
0,utility-pilot-UA_d0p1_a04-pdg-13-04,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetR_1,0.0,Magn7_MagRetR,-109.26235854319724,5.627730949531349,3149.66
1,utility-pilot-UA_d0p1_a04-pdg-13-04,genuine_nf_pilot,air,/cave_1,43.433819343128064,cave,-112.11308765518393,5.747757036465447,3193.0
2,utility-pilot-UA_d0p1_a04-pdg-13-04,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.15369573978059,Upstream_Tagger,-116.7831791861266,5.944384913076451,3264.0
3,utility-pilot-UA_d0p1_a04-pdg-13-04,genuine_nf_pilot,air,/cave_1,16.034635659669014,cave,-117.8355941790151,5.988695420481748,3280.0
4,utility-pilot-UA_d0p1_a04-pdg-13-04,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,5152.286006041755,Cavern,-456.0,20.226649563659024,8421.156796223127
5,utility-pilot-UA_d0p1_a04-pdg-13-04,genuine_nf_pilot,air,/cave_1,7647.361909288882,cave,-957.9258622522497,41.35955795675984,16052.0
0,utility-pilot-UA_d0p1_a04-pdg-13-05,genuine_nf_pilot,iron,/cave_1/MuonShieldArea_1/Magn7_MagRetR_1,0.0,Magn7_MagRetR,-123.17586359246822,5.471385198643762,3149.66
1,utility-pilot-UA_d0p1_a04-pdg-13-05,genuine_nf_pilot,air,/cave_1,43.43359124768013,cave,-126.02563589005537,5.464564462015043,3193.0
2,utility-pilot-UA_d0p1_a04-pdg-13-05,genuine_nf_pilot,vacuum,/cave_1/Upstream_Tagger_1,71.15332207164944,Upstream_Tagger,-130.694159958553,5.453390666430388,3264.0
3,utility-pilot-UA_d0p1_a04-pdg-13-05,genuine_nf_pilot,air,/cave_1,16.034551452766223,cave,-131.746221720468,5.450872627988775,3280.0
4,utility-pilot-UA_d0p1_a04-pdg-13-05,genuine_nf_pilot,Concrete,/cave_1/Cavern_1,4941.975917947328,Cavern,-456.0,4.67479321126347,8211.326886198432
