candidate_id,mudis_artifact,ttree_artifact,ttree_ok,ttree_returncode
utility-pilot-UA_d0p1_a04-pdg13-00,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg13-00/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg13-01,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg13-01/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg13-02,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg13-02/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg13-03,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg13-03/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg13-04,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg13-04/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg13-05,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg13-05/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg-13-00,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg-13-00/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg-13-01,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg-13-01/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg-13-02,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg-13-02/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg-13-03,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg-13-03/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg-13-04,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg-13-04/ttree,True,0
utility-pilot-UA_d0p1_a04-pdg-13-05,NA,artifacts/utility_guided_fairship_pilot_v0/executions/utility-pilot-UA_d0p1_a04-pdg-13-05/ttree,True,0
