variant_id,model_seed,pdg_id,condition,technical_status,nominal_validation_nll,tilted_validation_nll,nominal_target_b_toy,tilted_target_b_toy,training_target_b_toy,generated_b_toy,generated_over_nominal_ratio,generated_over_tilted_ratio,generated_b_toy_standard_error,generated_b_toy_wilson_95_low,generated_b_toy_wilson_95_high,generated_sample_finite_fraction,generated_log_prob_finite_fraction,n_eff,n_eff_over_n_train,nominal_n_eff,top_10_mass,top_100_mass,zero_probability_fraction,expected_unique_rows_per_epoch,empirical_unique_rows_per_epoch_mean,cumulative_unique_source_rows,max_row_reuse,amplification_factor,preprocessing_hash,alias_table_hash,tilted_probability_table_hash,val_nll_under_NOMINAL_PHYSICAL,val_nll_under_UA_d0p9_a04,val_nll_under_UA_d0p9_a08,val_nll_under_UA_d0p1_a01
NOMINAL_PHYSICAL,11,13,-1.0,completed_fixture_run,5.775195446186574,5.775195446186574,0.024185342330643025,0.024185342330643025,0.024185342330643025,0.021728515625,0.89841670743977,0.89841670743977,0.001610830168653088,0.018788306035311515,0.025117064832181082,1.0,1.0,630.2635689187982,0.06154917665222639,630.2635689187982,0.02411123652059723,0.24111236520597232,0.0,1341.7956065030428,1337.2068965517242,9661,22,1.0,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,fd6053ad9852a08b6fba50d3ad86a42e0fd12e96f0233122457951d322d67dd8,6dbcb73c9131790dc840a75a076e288ab711f572b0eb3d71e13caeff8274c2b6,5.775195446186574,5.827437048230584,5.90412814501858,6.497788683497071
NOMINAL_PHYSICAL,11,-13,1.0,completed_fixture_run,6.2465751815853325,6.2465751815853325,0.02638349091943096,0.02638349091943096,0.02638349091943096,0.034912109375,1.3232558754871921,1.3232558754871921,0.00202803995132936,0.031150171874033086,0.03911002797414119,1.0,1.0,742.4024658363583,0.07250024080433186,742.4024658363583,0.019591081388745903,0.19591081388745904,0.0,1300.9173464396274,1305.8620689655172,9290,21,1.0,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,6a5b2c07723e200394df401b1ea965c097dd1202213f4f45eee0790163f84b55,a24fb0d62a3f91e54f7351110ae424fb145fe2304f1d52e06537559031ddd2bd,6.2465751815853325,6.2748187528650785,6.31598924228823,6.62341031043818
NOMINAL_PHYSICAL,12,13,-1.0,completed_fixture_run,5.26592208816842,5.26592208816842,0.02351753203630366,0.02351753203630366,0.02351753203630366,0.0120849609375,0.5138702870201103,0.5138702870201103,0.0012072228638684594,0.009937063440808126,0.014690238079704359,1.0,1.0,622.0073054885174,0.06074290092661303,622.0073054885174,0.02482251841453145,0.2482251841453145,0.0,1357.0984895404972,1341.3529411764705,8418,25,1.0,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,c03342e3946e1e0be77c0fc43d0c95a614e9c76a90c2225e7fa738e7d7900307,16069973522da31b6d1bf588cb3d3895e26483675b4ccdce47c6bb09389d6e8d,5.26592208816842,5.324383906019105,5.410628189644565,6.095696409167244
NOMINAL_PHYSICAL,12,-13,1.0,completed_fixture_run,5.183921728214973,5.183921728214973,0.02143001176741377,0.02143001176741377,0.02143001176741377,0.0205078125,0.9569669266903504,0.9569669266903504,0.0015659041872479707,0.017655938493233023,0.023809170431603865,1.0,1.0,714.2848458503986,0.06975437947757798,714.2848458503986,0.02047370017402873,0.20473700174028733,0.0,1302.6652263521214,1302.8235294117646,7935,19,1.0,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,a12a8a6362f4c4714a5474d536b0eda75d4d4bde86a7a4e26bdf66b4ca5dbea1,eedcc04bbcef0221584b71c60c6ebcda4d4d755f8f932517ef056c9527c6885a,5.183921728214973,5.273886252383604,5.402522670307484,6.278120741511871
NOMINAL_PHYSICAL,13,13,-1.0,completed_fixture_run,4.993739498911218,4.993739498911218,0.02706050965876211,0.02706050965876211,0.02706050965876211,0.0191650390625,0.7082290505306288,0.7082290505306288,0.0015148089112578128,0.016413591801175322,0.02236722898674028,1.0,1.0,638.0180463229602,0.06230644983622659,638.0180463229602,0.023929255643357798,0.23929255643357802,0.0,1343.096020928356,1342.0526315789473,8724,22,1.0,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,a857f2387e5e21eb2adef0ffc24391283ed41ba1e6d36bafdf9c07a188aedf73,7fa9a1d20889552ecab43505f3608a91ff1ee3df841d3a8e04eee7d492095878,4.993739498911218,5.072549942501419,5.187749047362251,6.060033425997447
NOMINAL_PHYSICAL,13,-13,1.0,completed_fixture_run,4.718515207166528,4.718515207166528,0.02753990489977325,0.02753990489977325,0.02753990489977325,0.0107421875,0.3900589903666823,0.3900589903666823,0.0011389538757638673,0.008727970820725267,0.013215042562865934,1.0,1.0,745.7795981103458,0.07283003887796345,745.7795981103458,0.01921079681066797,0.19210796810667974,9.765625e-05,1291.127341106193,1294.6315789473683,8053,20,1.0,e471ada5330178e6fb57ed16d1eeac317e2035ec2c91a4b1ff1db4e6d9e77c03,0895c404c00ec40397c1ca1575dc992ee025a1e9adcc9869fc1b488812eee3d2,4d95928d5ae44468fe40251ef1488ae79c572987375acc4797cf582a43d266d5,4.718515207166528,4.793816987492535,4.9042274595477044,5.7535843127621105
UA_d0p9_a04,11,13,-1.0,completed_fixture_run,5.495748856565679,5.545687906235459,0.024185342330643025,0.03640082957311495,0.03640082957311495,0.0218505859375,0.9034639923130271,0.6002771418604834,0.001615247849161149,0.018901688398290168,0.025247708663468,1.0,1.0,638.8134707990295,0.06238412800771772,630.2635689187982,0.02630538382603201,0.24059003915427446,0.0,1363.1429437325764,1372.7241379310344,9686,23,1.505078120271004,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,3c122dc6e86b877e70772be20639cc059992461923d32312111c32e824e70f3a,e8ee102ab6f6bce8ecb1f7b2c918afb4f00d8c3ce20984ed17ceb416cdaa07a6,5.495748856565679,5.545687906235459,5.618998837406739,6.186493744877053
UA_d0p9_a04,11,-13,1.0,completed_fixture_run,6.180869970871331,6.202775661017697,0.02638349091943096,0.039664086956698236,0.039664086956698236,0.025634765625,0.9716214470360501,0.6462966272987901,0.0017461461616977072,0.022428306767552548,0.02928590231643832,1.0,1.0,744.0658631213105,0.07266268194544048,742.4024658363583,0.025401098746354562,0.19931574554769618,0.0,1312.501586148615,1320.103448275862,9331,22,1.503367658124663,d858fb2f0dd0522c6bfa9098615dc6ef77264d32360d9d5f4222e15524c8aa8c,0f5b81160bcb8207638c63b937be669de6fd6d0ae3de8bdebd6c456944b7299b,9ba35ccaa4ae758c75329ff770af9b7408e45e61e88fcaa927a3c7fcd7f602ea,6.180869970871331,6.202775661017697,6.2347074580112505,6.473142980086572
UA_d0p9_a04,12,13,-1.0,completed_fixture_run,5.244747646851318,5.285462613701365,0.02351753203630366,0.03540796189150574,0.03540796189150574,0.0281982421875,1.1990306697135906,0.7963813978873682,0.0018289628597148162,0.024828702422646245,0.03201005674092162,1.0,1.0,627.1319073673687,0.061243350328844606,622.0073054885174,0.028376005976793815,0.24905834255320242,0.0,1374.0481438583795,1374.235294117647,8553,28,1.5055985397127132,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,9a4d88809fb420ed38e91f08490d58d5ce47543f29b5d6e23c902a89471d5a57,dcffadea4c6f5c34662a921cb9c475d0796a1c7e800c99d0686e8c84173ac3f0,5.244747646851318,5.285462613701365,5.3455263147273095,5.822633097809666
UA_d0p9_a04,12,-13,1.0,completed_fixture_run,4.963817214826628,5.045884639589459,0.02143001176741377,0.03229990631012883,0.03229990631012883,0.027587890625,1.287348365666781,0.8541167382999126,0.001809628615775641,0.024256431977070093,0.03136219621516991,1.0,1.0,719.6521570833588,0.07027853096517175,714.2848458503986,0.023429953820365404,0.20564647009767867,0.0,1316.760084275215,1316.1176470588234,7970,25,1.507227651607905,065d1fa2aca2045c997fa0694d930dbc892fa0ad32fc778f9c83bfcc55e5be6f,e7cc17fcd19177a14145d5421066dbaddfef5816b43081b591d23fcadfebfe1f,eb1efcc08d783380338af640ea97764414197dfa586fe51673daf8e758d77b7d,4.963817214826628,5.045884639589459,5.16322933348169,5.961967274854615
